timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1776000,1776000,6620172,399.60654,12.404602,96616.42,1.1479629
1800000,1800000,6620172,399.58777,12.404602,96616.64,1.1479656
1820000,1820000,6620172,399.62064,12.404602,96616.23,1.1479605
1848000,1848000,6620172,399.69104,12.404602,96615.44,1.1479512
1872000,1872000,6620172,399.5408,12.404602,96617.15,1.1479715
1896000,1896000,6620172,399.63,12.404602,96616.14,1.1479596
1920000,1920000,6620172,399.6394,12.404602,96616.055,1.1479585
1944000,1944000,6620172,399.57837,12.404602,96616.72,1.1479665
1964000,1964000,6620172,399.5408,12.404602,96617.164,1.1479717
1992000,1992000,6620172,399.60184,12.404602,96616.445,1.1479632
2012000,2012000,6620172,399.5314,12.404602,96617.31,1.1479735
2036000,2036000,6620172,399.39056,12.404602,96618.914,1.1479925
2064000,2064000,6620172,399.47037,12.404602,96618.01,1.1479818
2088000,2088000,6620172,399.60654,12.404602,96616.39,1.1479626
2108000,2108000,6620172,399.57837,12.404602,96616.73,1.1479665
2132000,2132000,6620172,399.57367,12.404602,96616.83,1.1479677
2160000,2160000,6620172,399.58777,12.404602,96616.63,1.1479654
2184000,2184000,6620172,399.77554,12.404602,96614.46,1.1479396
2208000,2208000,6620172,399.61124,12.404602,96616.35,1.1479621
2232000,2232000,6620172,399.57367,12.404602,96616.77,1.1479671
2256000,2256000,6620172,399.58777,12.404602,96616.6,1.1479651
2276000,2276000,6620172,399.58777,12.404602,96616.61,1.1479652
2300000,2300000,6620172,399.60184,12.404602,96616.445,1.1479632
2328000,2328000,6620172,399.51733,12.404602,96617.445,1.1479751
2352000,2352000,6620172,399.58777,12.404602,96616.61,1.1479652
2376000,2376000,6620172,399.68167,12.404602,96615.53,1.1479523
2400000,2400000,6620172,399.5455,12.404602,96617.13,1.1479714
2420000,2420000,6620172,399.6394,12.404602,96616.03,1.1479583
2444000,2444000,6620172,399.5314,12.404602,96617.305,1.1479734
2472000,2472000,6620172,399.6347,12.404602,96616.086,1.1479589
2492000,2492000,6620172,399.60654,12.404602,96616.41,1.1479627
2520000,2520000,6620172,399.47507,12.404602,96617.914,1.1479807
2540000,2540000,6620172,399.61594,12.404602,96616.33,1.1479619
2568000,2568000,6620172,399.57367,12.404602,96616.805,1.1479675
2588000,2588000,6620172,399.62064,12.404602,96616.23,1.1479605
2616000,2616000,6620172,399.42813,12.404602,96618.47,1.1479872
2636000,2636000,6620172,399.59244,12.404602,96616.58,1.1479648
2660000,2660000,6620172,399.67227,12.404602,96615.66,1.1479539
2684000,2684000,6620172,399.52203,12.404602,96617.39,1.1479744
2708000,2708000,6620172,399.56427,12.404602,96616.86,1.1479682
2732000,2732000,6620172,399.4469,12.404602,96618.28,1.147985
2756000,2756000,6620172,399.61594,12.404602,96616.336,1.1479619
2780000,2780000,6620172,399.51733,12.404602,96617.45,1.1479752
2808000,2808000,6620172,399.67697,12.404602,96615.59,1.147953
2828000,2828000,6620172,399.67227,12.404602,96615.64,1.1479536
2856000,2856000,6620172,399.5455,12.404602,96617.086,1.1479708
2880000,2880000,6620172,399.49387,12.404602,96617.7,1.1479782
2900000,2900000,6620172,399.57837,12.404602,96616.74,1.1479667
2924000,2924000,6620172,399.66757,12.404602,96615.72,1.1479546
2948000,2948000,6620172,399.75208,12.404602,96614.734,1.1479429
2972000,2972000,6620172,399.51263,12.404602,96617.5,1.1479757
2996000,2996000,6620172,399.52203,12.404602,96617.39,1.1479744
3020000,3020000,6620172,399.6347,12.404602,96616.086,1.1479589
3048000,3048000,6620172,399.5502,12.404602,96617.06,1.1479706
3072000,3072000,6620172,399.4516,12.404602,96618.18,1.1479838
3092000,3092000,6620172,399.68167,12.404602,96615.555,1.1479526
3116000,3116000,6620172,399.6441,12.404602,96615.98,1.1479577
3144000,3144000,6620172,399.60184,12.404602,96616.44,1.147963
3168000,3168000,6620172,399.60654,12.404602,96616.39,1.1479626
3188000,3188000,6620172,399.57837,12.404602,96616.73,1.1479665
3212000,3212000,6620172,399.6441,12.404602,96615.99,1.1479578
3236000,3236000,6620172,399.56897,12.404602,96616.836,1.1479678
3260000,3260000,6620172,399.47037,12.404602,96617.984,1.1479815
