timestamp,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_bias[0],accel_bias[1],accel_bias[2]
8176000,-0.000497449,-0.004638251,-0.001274799,0.030775223,0.002218546,-0.09675976
9176000,0.001407272,-0.006128574,0.003055177,0.028802995,0.00645043,-0.10148386
10176000,0.002041546,-0.006748479,0.004164239,0.000744373,0.02033482,-0.09146495
11176000,0.000428463,-0.006680893,0.005080325,-0.032745056,-0.005232793,-0.07811558
12176000,-0.000483461,-0.006674047,0.005905517,-0.057632957,-0.011941278,-0.06567635
13176000,-0.000761914,-0.006581752,0.005851809,-0.07947415,-0.015756836,-0.066881895
14176000,-0.000869924,-0.006492973,0.00537199,-0.09337256,-0.022134364,-0.07121264
15176000,-0.000983318,-0.006397892,0.004975515,-0.09726118,-0.025064187,-0.07802115
16176000,-0.001205777,-0.00644329,0.004232271,-0.09914425,-0.017100802,-0.08409052
17176000,-0.001442767,-0.006520204,0.003681388,-0.10046033,-0.001546741,-0.08881745
18176000,-0.001555882,-0.006554447,0.003381616,-0.10161622,0.005916625,-0.092274435
19176000,-0.00167112,-0.006575176,0.003086278,-0.10335986,0.013877509,-0.095467955
20176000,-0.001735107,-0.006547678,0.002874764,-0.10363232,0.018378144,-0.096978426
21176000,-0.001706707,-0.006519797,0.002710725,-0.1044948,0.016782729,-0.09918093
22176000,-0.001618671,-0.006446246,0.002442781,-0.10310396,0.010940994,-0.10045604
23176000,-0.001524012,-0.006205402,0.001628671,-0.085550316,0.008197853,-0.09672775
24176000,-0.001476289,-0.006193891,0.001506959,-0.08702354,0.004369932,-0.09746287
25176000,-0.001500694,-0.006339296,0.001545088,-0.109050564,0.009895816,-0.10217573
26176000,-0.001622252,-0.00649666,0.001400008,-0.13655573,0.043656282,-0.10724287
27176000,-0.001740127,-0.006570602,0.001122253,-0.15264943,0.08628191,-0.10879534
28176000,-0.001786109,-0.006598199,0.000890043,-0.15991667,0.11234237,-0.10721549
29183999,-0.001788585,-0.006605737,0.000811847,-0.16473609,0.121259965,-0.104572
30183999,-0.001784108,-0.006612944,0.00075033,-0.17101762,0.12726147,-0.1010631
31184000,-0.001777722,-0.006605941,0.000716547,-0.17522217,0.13112758,-0.09820387
32184000,-0.001766046,-0.006587904,0.000656281,-0.17670994,0.13624673,-0.095267475
33184000,-0.00173995,-0.006553001,0.000621098,-0.17677625,0.13900557,-0.093320705
34184000,-0.001717486,-0.006489658,0.000646769,-0.17630665,0.1429962,-0.09186381
35184000,-0.001693792,-0.00642347,0.000668878,-0.17455862,0.14706148,-0.08944546
36184000,-0.001704072,-0.006338754,0.000686621,-0.17431307,0.15384172,-0.085908525
37184000,-0.001745548,-0.006243659,0.000648791,-0.17666829,0.16170523,-0.082023606
38184000,-0.001805664,-0.006133871,0.000547501,-0.18140501,0.16995025,-0.07808657
39184000,-0.001843475,-0.006052711,0.000444951,-0.1853413,0.17529306,-0.074931234
40184000,-0.001867156,-0.005966986,0.000342799,-0.18928581,0.17987658,-0.071671166
41184000,-0.00187037,-0.005910121,0.000275352,-0.1917866,0.18257259,-0.06851628
42184000,-0.001850423,-0.005867004,0.000222711,-0.19348975,0.18452597,-0.06439331
43184000,-0.001818266,-0.005839879,0.000193686,-0.19448288,0.18567592,-0.060791217
44184000,-0.001785922,-0.00581747,0.000171412,-0.19540563,0.18660477,-0.05758051
45184000,-0.001748555,-0.005806156,0.000149787,-0.19625613,0.18708903,-0.05461289
46184000,-0.00170053,-0.005786615,0.000139655,-0.19712518,0.18719319,-0.051546156
47184000,-0.001649589,-0.00577753,0.00012344,-0.19802465,0.18691415,-0.048300717
48184000,-0.001602696,-0.005760641,0.000119942,-0.19873893,0.18684012,-0.044890884
49184000,-0.001566128,-0.005759161,0.000114101,-0.19955654,0.18675819,-0.041952904
50184000,-0.001530708,-0.00575384,9.96E-05,-0.20007928,0.18606143,-0.03866526
51184000,-0.001514639,-0.005748942,8.25E-05,-0.19981146,0.18539746,-0.03524573
52184000,-0.001511694,-0.005760097,8.76E-05,-0.20025843,0.18478726,-0.032666106
53184000,-0.001510465,-0.005779849,0.000106829,-0.2011521,0.18399711,-0.029574139
54184000,-0.001512513,-0.005802525,0.000125195,-0.20238744,0.1828535,-0.026021639
55184000,-0.001514636,-0.005821394,0.000151716,-0.2034501,0.18162733,-0.022493556
56184000,-0.001512814,-0.005832926,0.000172971,-0.20406878,0.18120463,-0.019606182
57184000,-0.001513168,-0.005839196,0.000191651,-0.20468451,0.18091711,-0.018342499
58184000,-0.001515527,-0.005850065,0.000202106,-0.20490889,0.18095212,-0.01644876
59184000,-0.00151963,-0.00585576,0.000208626,-0.20545271,0.18097855,-0.015051453
60184000,-0.001519995,-0.005861536,0.00022138,-0.20601468,0.18082277,-0.013662696
61184000,-0.001519101,-0.005863603,0.000230469,-0.2065782,0.18073614,-0.01176383
62184000,-0.001516554,-0.005854757,0.000243511,-0.20691204,0.18041688,-0.010039489
63184000,-0.00151541,-0.005854882,0.00025517,-0.20732123,0.18028988,-0.008525377
64184000,-0.001504827,-0.005858376,0.000266874,-0.2080373,0.18025157,-0.007179366
65184000,-0.001491833,-0.005854764,0.000275731,-0.20853625,0.18010072,-0.005986984
66184000,-0.001485675,-0.005866243,0.000254733,-0.20875688,0.17985801,-0.006551124
67184000,-0.001486445,-0.005873242,0.000232779,-0.20878392,0.17920965,-0.007719455
68184000,-0.001475188,-0.00588883,0.000224824,-0.20897934,0.17816347,-0.008748859
69184000,-0.00145924,-0.005902493,0.000230461,-0.2088456,0.17705224,-0.010041678
70184000,-0.00145089,-0.005916302,0.000248411,-0.2089004,0.17644915,-0.012018405
71184000,-0.001450414,-0.005926382,0.000257077,-0.20885587,0.17593618,-0.013196056
72184000,-0.001451822,-0.005937534,0.000267045,-0.20883714,0.17542684,-0.014181192
73184000,-0.001456398,-0.005946796,0.00028161,-0.20904155,0.1752225,-0.01426716
74184000,-0.001452293,-0.00594529,0.000291988,-0.2090798,0.17506006,-0.014704279
75184000,-0.00143907,-0.005942543,0.000292765,-0.20907708,0.17523028,-0.015101973
76184000,-0.001411217,-0.005938458,0.000304069,-0.20937464,0.17523119,-0.014623487
77184000,-0.001373309,-0.005939331,0.000317274,-0.21050517,0.17531867,-0.014051601
78184000,-0.001335987,-0.005933755,0.000292915,-0.21218604,0.1745489,-0.013400014
